Wavelength (nm), Intensity (a.u.)
531.480,6.0601e-04
531.490,6.0664e-04
531.500,6.0728e-04
531.510,6.0792e-04
531.520,6.0857e-04
531.530,6.0922e-04
531.540,6.0987e-04
531.550,6.1052e-04
531.560,6.1118e-04
531.570,6.1185e-04
531.580,6.1252e-04
531.590,6.1319e-04
531.600,6.1387e-04
531.610,6.1455e-04
531.620,6.1523e-04
531.630,6.1592e-04
531.640,6.1661e-04
531.650,6.1731e-04
531.660,6.1801e-04
531.670,6.1871e-04
531.680,6.1942e-04
531.690,6.2013e-04
531.700,6.2085e-04
531.710,6.2157e-04
531.720,6.2230e-04
531.730,6.2302e-04
531.740,6.2376e-04
531.750,6.2449e-04
531.760,6.2523e-04
531.770,6.2598e-04
531.780,6.2673e-04
531.790,6.2748e-04
531.800,6.2824e-04
531.810,6.2900e-04
531.820,6.2976e-04
531.830,6.3053e-04
531.840,6.3131e-04
531.850,6.3208e-04
531.860,6.3287e-04
531.870,6.3365e-04
531.880,6.3444e-04
531.890,6.3523e-04
531.900,6.3603e-04
531.910,6.3684e-04
531.920,6.3764e-04
531.930,6.3845e-04
531.940,6.3927e-04
531.950,6.4009e-04
531.960,6.4091e-04
531.970,6.4174e-04
531.980,6.4257e-04
531.990,6.4340e-04
532.000,6.4424e-04
532.010,6.4509e-04
532.020,6.4594e-04
532.030,6.4679e-04
532.040,6.4764e-04
532.050,6.4851e-04
532.060,6.4937e-04
532.070,6.5024e-04
532.080,6.5111e-04
532.090,6.5199e-04
532.100,6.5288e-04
532.110,6.5376e-04
532.120,6.5465e-04
532.130,6.5555e-04
532.140,6.5645e-04
532.150,6.5735e-04
532.160,6.5826e-04
532.170,6.5918e-04
532.180,6.6009e-04
532.190,6.6101e-04
532.200,6.6194e-04
532.210,6.6287e-04
532.220,6.6381e-04
532.230,6.6475e-04
532.240,6.6569e-04
532.250,6.6664e-04
532.260,6.6759e-04
532.270,6.6855e-04
532.280,6.6951e-04
532.290,6.7048e-04
532.300,6.7145e-04
532.310,6.7242e-04
532.320,6.7340e-04
532.330,6.7439e-04
532.340,6.7538e-04
532.350,6.7637e-04
532.360,6.7737e-04
532.370,6.7837e-04
532.380,6.7938e-04
532.390,6.8040e-04
